Depth,Train_Accuracy,Test_Accuracy,Difference
1,0.7621951219512195,0.751219512195122,0.01097560975609757
2,0.7695121951219512,0.6780487804878049,0.09146341463414631
3,0.8463414634146341,0.7902439024390244,0.056097560975609695
4,0.8707317073170732,0.7902439024390244,0.08048780487804874
5,0.9207317073170732,0.8439024390243902,0.076829268292683
6,0.947560975609756,0.8731707317073171,0.07439024390243898
7,0.9646341463414634,0.8926829268292683,0.07195121951219507
8,0.9804878048780488,0.9463414634146341,0.034146341463414664
9,0.9914634146341463,0.9658536585365853,0.025609756097561
10,1.0,0.9853658536585366,0.014634146341463428
11,1.0,0.9853658536585366,0.014634146341463428
12,1.0,0.9853658536585366,0.014634146341463428
13,1.0,0.9853658536585366,0.014634146341463428
14,1.0,0.9853658536585366,0.014634146341463428
15,1.0,0.9853658536585366,0.014634146341463428
16,1.0,0.9853658536585366,0.014634146341463428
17,1.0,0.9853658536585366,0.014634146341463428
18,1.0,0.9853658536585366,0.014634146341463428
19,1.0,0.9853658536585366,0.014634146341463428
20,1.0,0.9853658536585366,0.014634146341463428
